date,price
03/29/2007,-495.9
04/29/2007,-503.58
05/29/2007,-478.68
06/29/2007,-510.53
07/29/2007,-508.1
08/29/2007,-497.69
09/29/2007,-525.22
10/29/2007,-488.01
11/29/2007,-502.22
12/29/2007,-510.25
01/29/2008,-533.01
02/29/2008,-500.08
03/29/2008,-519.93
04/29/2008,-510.83
05/29/2008,-501.42
06/29/2008,-534.3
07/29/2008,-503.8
08/29/2008,-517.3
09/29/2008,-516.88
10/29/2008,-526.15
11/29/2008,-507.26
12/29/2008,-538.64
01/29/2009,-508.94
02/28/2009,-509.33
03/29/2009,-538.62
04/29/2009,-518.92
05/29/2009,-506.82
06/29/2009,-529.14
07/29/2009,-523.32
08/29/2009,-506.52
09/29/2009,-567.35
10/29/2009,-505.88
11/29/2009,-524.31
12/29/2009,-592.38
01/29/2010,-507.21
02/28/2010,-532.31
03/29/2010,-544.53
04/29/2010,-524.76
05/29/2010,-514.34
06/29/2010,-566.53
07/29/2010,-516.6
08/29/2010,-503.89
09/29/2010,-600.37
10/29/2010,-530.46
11/29/2010,-474.95
12/29/2010,-781.53
01/29/2011,-526.7
02/28/2011,-526.9
03/29/2011,-612.76
04/29/2011,-533.07
05/29/2011,-489.27
06/29/2011,-609.01
07/29/2011,-508.29
08/29/2011,-501.45
09/29/2011,-641.03
10/29/2011,-519.66
11/29/2011,-524.39
12/29/2011,-921.0
01/29/2012,34765.7
