date,price
05/05/2002,-492.02
06/05/2002,-486.63
07/05/2002,-517.02
08/05/2002,-507.46
09/05/2002,-499.27
10/05/2002,-512.08
11/05/2002,-499.36
12/05/2002,-507.69
01/05/2003,-540.28
02/05/2003,-509.48
03/05/2003,-524.38
04/05/2003,-514.15
05/05/2003,-509.33
06/05/2003,-496.91
07/05/2003,-516.35
08/05/2003,-519.98
09/05/2003,-505.65
10/05/2003,-524.26
11/05/2003,-511.33
12/05/2003,-514.58
01/05/2004,-596.82
02/05/2004,-518.61
03/05/2004,-519.01
04/05/2004,-518.27
05/05/2004,-535.8
06/05/2004,-511.45
07/05/2004,-541.03
08/05/2004,-499.34
09/05/2004,-534.28
10/05/2004,-538.3
11/05/2004,-515.66
12/05/2004,-508.0
01/05/2005,-718.79
02/05/2005,-525.59
03/05/2005,-524.01
04/05/2005,-552.81
05/05/2005,-526.88
06/05/2005,-514.9
07/05/2005,-559.29
08/05/2005,-531.38
09/05/2005,-513.06
10/05/2005,-588.9
11/05/2005,-535.55
12/05/2005,-532.56
01/05/2006,-773.46
02/05/2006,-536.3
03/05/2006,-532.04
04/05/2006,-580.72
05/05/2006,-542.67
06/05/2006,-537.04
07/05/2006,-594.78
08/05/2006,-543.0
09/05/2006,-550.59
10/05/2006,-577.92
11/05/2006,-551.46
12/05/2006,-554.09
01/05/2007,-909.22
02/05/2007,-524.04
03/05/2007,-584.04
04/05/2007,-608.59
05/05/2007,-557.51
06/05/2007,-537.02
07/05/2007,-633.9
08/05/2007,-568.25
09/05/2007,-551.15
10/05/2007,-615.18
11/05/2007,-590.85
12/05/2007,-542.94
01/05/2008,-1079.89
02/05/2008,-559.15
03/05/2008,-567.54
04/05/2008,-614.55
05/05/2008,-594.12
06/05/2008,-558.44
07/05/2008,-643.24
08/05/2008,-562.32
09/05/2008,-571.65
10/05/2008,-624.5
11/05/2008,-569.02
12/05/2008,-570.02
01/05/2009,-987.44
02/05/2009,-576.09
03/05/2009,-562.48
04/05/2009,-635.68
05/05/2009,-552.11
06/05/2009,-554.67
07/05/2009,-644.64
08/05/2009,-554.15
09/05/2009,-556.91
10/05/2009,-617.66
11/05/2009,-555.43
12/05/2009,-577.67
01/05/2010,-1101.72
02/05/2010,-566.31
03/05/2010,-564.83
04/05/2010,-632.57
05/05/2010,-526.4
06/05/2010,-567.64
07/05/2010,-636.0
08/05/2010,-557.0
09/05/2010,-573.3
10/05/2010,-658.85
11/05/2010,-555.9
12/05/2010,-559.52
01/05/2011,-1153.08
02/05/2011,-554.91
03/05/2011,-567.67
04/05/2011,-665.23
05/05/2011,-565.92
06/05/2011,-550.46
07/05/2011,-675.27
08/05/2011,-566.98
09/05/2011,-568.26
10/05/2011,-685.36
11/05/2011,-568.0
12/05/2011,-567.85
01/05/2012,-1507.65
02/05/2012,-536.25
03/05/2012,-583.45
04/05/2012,-700.48
05/05/2012,81327.46
