date,price
05/05/2002,-486.03
06/05/2002,-511.36
07/05/2002,-500.46
08/05/2002,-506.58
09/05/2002,-491.06
10/05/2002,-516.63
11/05/2002,-506.53
12/05/2002,-511.75
01/05/2003,-530.42
02/05/2003,-515.97
03/05/2003,-512.0
04/05/2003,-519.59
05/05/2003,-501.19
06/05/2003,-518.19
07/05/2003,-523.53
08/05/2003,-519.02
09/05/2003,-509.78
10/05/2003,-531.81
11/05/2003,-507.49
12/05/2003,-514.89
01/05/2004,-591.32
02/05/2004,-520.11
03/05/2004,-495.18
04/05/2004,-564.64
05/05/2004,-511.12
06/05/2004,-532.09
07/05/2004,-541.59
08/05/2004,-520.38
09/05/2004,-539.71
10/05/2004,-547.64
11/05/2004,-533.42
12/05/2004,-524.16
01/05/2005,-675.58
02/05/2005,-519.24
03/05/2005,-515.37
04/05/2005,-596.97
05/05/2005,-515.13
06/05/2005,-529.9
07/05/2005,-584.8
08/05/2005,-541.46
09/05/2005,-514.08
10/05/2005,-591.13
11/05/2005,-553.4
12/05/2005,-539.87
01/05/2006,-722.19
02/05/2006,-556.78
03/05/2006,-525.83
04/05/2006,-620.16
05/05/2006,-549.54
06/05/2006,-527.59
07/05/2006,-639.11
08/05/2006,-539.1
09/05/2006,-567.86
10/05/2006,-616.05
11/05/2006,-562.85
12/05/2006,-560.2
01/05/2007,-821.59
02/05/2007,-558.88
03/05/2007,-562.58
04/05/2007,-613.26
05/05/2007,-579.6
06/05/2007,-576.36
07/05/2007,-659.49
08/05/2007,-569.27
09/05/2007,-573.13
10/05/2007,-667.32
11/05/2007,-574.12
12/05/2007,-558.3
01/05/2008,-928.53
02/05/2008,-584.05
03/05/2008,-562.6
04/05/2008,-688.56
05/05/2008,-568.4
06/05/2008,-575.96
07/05/2008,-689.54
08/05/2008,-560.52
09/05/2008,-587.22
10/05/2008,-675.31
11/05/2008,-584.49
12/05/2008,-564.57
01/05/2009,-898.08
02/05/2009,-576.09
03/05/2009,-581.0
04/05/2009,-680.49
05/05/2009,-557.42
06/05/2009,-583.38
07/05/2009,-674.52
08/05/2009,-562.51
09/05/2009,-555.15
10/05/2009,-695.82
11/05/2009,-558.15
12/05/2009,-566.46
01/05/2010,-977.82
02/05/2010,-551.79
03/05/2010,-590.08
04/05/2010,-674.05
05/05/2010,-539.56
06/05/2010,-558.93
07/05/2010,-712.32
08/05/2010,-570.74
09/05/2010,-576.03
10/05/2010,-710.45
11/05/2010,-577.7
12/05/2010,-559.52
01/05/2011,-1065.55
02/05/2011,-575.85
03/05/2011,-579.7
04/05/2011,-714.68
05/05/2011,-573.72
06/05/2011,-566.1
07/05/2011,-740.92
08/05/2011,-585.48
09/05/2011,-579.94
10/05/2011,-719.58
11/05/2011,-588.46
12/05/2011,-583.05
01/05/2012,-1316.39
02/05/2012,-574.6
03/05/2012,-574.6
04/05/2012,-759.69
05/05/2012,83351.69
