date,price
05/05/2002,-495.75
06/05/2002,-498.26
07/05/2002,-493.39
08/05/2002,-517.64
09/05/2002,-494.63
10/05/2002,-505.51
11/05/2002,-510.76
12/05/2002,-505.08
01/05/2003,-530.67
02/05/2003,-515.74
03/05/2003,-514.53
04/05/2003,-502.84
05/05/2003,-518.95
06/05/2003,-507.24
07/05/2003,-506.15
08/05/2003,-510.24
09/05/2003,-499.94
10/05/2003,-549.0
11/05/2003,-503.31
12/05/2003,-502.65
01/05/2004,-611.61
02/05/2004,-513.75
03/05/2004,-509.53
04/05/2004,-537.89
05/05/2004,-494.44
06/05/2004,-527.52
07/05/2004,-550.06
08/05/2004,-514.14
09/05/2004,-511.36
10/05/2004,-541.93
11/05/2004,-530.79
12/05/2004,-508.2
01/05/2005,-713.78
02/05/2005,-510.43
03/05/2005,-525.75
04/05/2005,-563.29
05/05/2005,-519.26
06/05/2005,-499.25
07/05/2005,-587.51
08/05/2005,-526.46
09/05/2005,-499.76
10/05/2005,-615.4
11/05/2005,-518.78
12/05/2005,-493.97
01/05/2006,-809.05
02/05/2006,-528.22
03/05/2006,-510.77
04/05/2006,-613.84
05/05/2006,-507.42
06/05/2006,-536.76
07/05/2006,-623.85
08/05/2006,-522.76
09/05/2006,-529.22
10/05/2006,-609.73
11/05/2006,-522.22
12/05/2006,-545.84
01/05/2007,-901.93
02/05/2007,-539.46
03/05/2007,-530.06
04/05/2007,-615.72
05/05/2007,-530.24
06/05/2007,-535.05
07/05/2007,-666.6
08/05/2007,-542.89
09/05/2007,-558.77
10/05/2007,-666.18
11/05/2007,-526.0
12/05/2007,-536.08
01/05/2008,-1027.77
02/05/2008,-558.18
03/05/2008,-536.01
04/05/2008,-671.27
05/05/2008,-513.61
06/05/2008,-549.7
07/05/2008,-694.88
08/05/2008,-542.66
09/05/2008,-540.75
10/05/2008,-695.07
11/05/2008,-537.15
12/05/2008,-542.69
01/05/2009,-975.84
02/05/2009,-533.37
03/05/2009,-531.2
04/05/2009,-690.8
05/05/2009,-526.57
06/05/2009,-538.77
07/05/2009,-671.4
08/05/2009,-536.95
09/05/2009,-527.44
10/05/2009,-688.56
11/05/2009,-522.83
12/05/2009,-524.6
01/05/2010,-1077.52
02/05/2010,-526.26
03/05/2010,-538.81
04/05/2010,-674.25
05/05/2010,-526.4
06/05/2010,-537.65
07/05/2010,-712.32
08/05/2010,-529.15
09/05/2010,-516.23
10/05/2010,-744.89
11/05/2010,-534.1
12/05/2010,-533.69
01/05/2011,-1092.91
02/05/2011,-533.97
03/05/2011,-545.1
04/05/2011,-713.47
05/05/2011,-534.93
06/05/2011,-551.99
07/05/2011,-732.52
08/05/2011,-529.72
09/05/2011,-553.68
10/05/2011,-751.26
11/05/2011,-534.79
12/05/2011,-530.1
01/05/2012,-1391.39
02/05/2012,-526.5
03/05/2012,-548.68
04/05/2012,-774.55
05/05/2012,83108.28
