date,price
01/29/1992,-467.76
02/29/1992,-526.4
03/29/1992,-507.89
04/29/1992,-506.24
05/29/1992,-501.27
06/29/1992,-497.07
07/29/1992,-520.66
08/29/1992,-506.09
09/29/1992,-529.6
10/29/1992,-506.19
11/29/1992,-496.98
12/29/1992,-565.46
01/29/1993,-551.62
02/28/1993,-525.86
03/29/1993,-516.15
04/29/1993,-502.95
05/29/1993,-548.46
06/29/1993,-521.99
07/29/1993,-488.91
08/29/1993,-550.07
09/29/1993,-561.6
10/29/1993,-526.46
11/29/1993,-506.64
12/29/1993,-569.28
01/29/1994,-632.55
02/28/1994,-509.67
03/29/1994,-598.51
04/29/1994,-540.55
05/29/1994,-493.96
06/29/1994,-582.87
07/29/1994,-544.26
08/29/1994,-505.8
09/29/1994,-590.24
10/29/1994,-548.7
11/29/1994,-548.65
12/29/1994,-692.22
01/29/1995,-553.22
02/28/1995,-560.2
03/29/1995,-604.72
04/29/1995,-563.97
05/29/1995,-492.34
06/29/1995,-624.35
07/29/1995,-527.58
08/29/1995,-591.96
09/29/1995,-648.34
10/29/1995,-503.6
11/29/1995,-579.79
12/29/1995,-705.58
01/29/1996,-551.78
02/29/1996,-578.84
03/29/1996,-659.61
04/29/1996,-500.53
05/29/1996,-569.35
06/29/1996,-627.03
07/29/1996,-536.85
08/29/1996,-548.53
09/29/1996,-717.8
10/29/1996,-598.7
11/29/1996,-598.8
12/29/1996,-742.89
01/29/1997,-615.51
02/28/1997,-605.74
03/29/1997,-703.55
04/29/1997,-621.44
05/29/1997,-623.36
06/29/1997,-705.6
07/29/1997,-630.0
08/29/1997,-632.96
09/29/1997,-578.26
10/29/1997,-612.67
11/29/1997,-663.3
12/29/1997,-825.74
01/29/1998,-649.5
02/28/1998,-644.48
03/29/1998,-614.27
04/29/1998,-655.85
05/29/1998,-659.75
06/29/1998,-579.69
07/29/1998,-669.24
08/29/1998,-623.77
09/29/1998,-756.48
10/29/1998,-701.76
11/29/1998,-660.48
12/29/1998,-938.21
01/29/1999,-666.9
02/28/1999,-672.01
03/29/1999,-736.57
04/29/1999,-733.65
05/29/1999,-689.5
06/29/1999,-627.84
07/29/1999,-690.12
08/29/1999,-706.64
09/29/1999,-811.17
10/29/1999,-707.37
11/29/1999,-502.32
12/29/1999,-1026.13
01/29/2000,-730.73
02/29/2000,-621.4
03/29/2000,-922.56
04/29/2000,-743.34
05/29/2000,-499.11
06/29/2000,-844.51
07/29/2000,-660.75
08/29/2000,-843.03
09/29/2000,-795.36
10/29/2000,-516.72
11/29/2000,-729.72
12/29/2000,-947.52
01/29/2001,-507.52
02/28/2001,-688.62
03/29/2001,-856.56
04/29/2001,-807.73
05/29/2001,-692.52
06/29/2001,-913.2
07/29/2001,-445.08
08/29/2001,-835.6
09/29/2001,-862.38
10/29/2001,-489.25
11/29/2001,-737.45
12/29/2001,-847.12
01/29/2002,-822.32
02/28/2002,-732.34
03/29/2002,-919.08
04/29/2002,-497.1
05/29/2002,-689.08
06/29/2002,-893.7
07/29/2002,-500.7
08/29/2002,-763.47
09/29/2002,-903.12
10/29/2002,-658.48
11/29/2002,-778.68
12/29/2002,-648.8
01/29/2003,-701.91
02/28/2003,-772.4
03/29/2003,-860.97
04/29/2003,-677.84
05/29/2003,-721.03
06/29/2003,-900.06
07/29/2003,-724.91
08/29/2003,-606.6
09/29/2003,-704.5
10/29/2003,-686.75
11/29/2003,-694.96
12/29/2003,-762.2
01/29/2004,-725.2
02/29/2004,-698.81
03/29/2004,-700.15
04/29/2004,-791.7
05/29/2004,-712.84
06/29/2004,-696.21
07/29/2004,-649.6
08/29/2004,-712.88
09/29/2004,-946.86
10/29/2004,-753.36
11/29/2004,-531.44
12/29/2004,-1200.42
01/29/2005,-772.5
02/28/2005,-723.49
03/29/2005,-965.66
04/29/2005,-643.14
05/29/2005,-559.42
06/29/2005,-1019.36
07/29/2005,-761.25
08/29/2005,-491.04
09/29/2005,-1071.66
10/29/2005,-740.67
11/29/2005,-760.0
12/29/2005,-1016.06
01/29/2006,-870.87
02/28/2006,-759.24
03/29/2006,-1065.96
04/29/2006,-782.4
05/29/2006,-465.4
06/29/2006,-1031.84
07/29/2006,-883.1
08/29/2006,-793.6
09/29/2006,-1028.97
10/29/2006,-598.2
11/29/2006,-816.48
12/29/2006,-1221.22
01/29/2007,-495.5
02/28/2007,-813.0
03/29/2007,-1151.15
04/29/2007,-841.68
05/29/2007,-832.44
06/29/2007,-1190.64
07/29/2007,-502.35
08/29/2007,-742.97
09/29/2007,-1338.66
10/29/2007,-503.5
11/29/2007,-821.1
12/29/2007,-1351.5
01/29/2008,-874.37
02/29/2008,-737.7
03/29/2008,-1339.25
04/29/2008,-766.02
05/29/2008,-909.97
06/29/2008,-1178.3
07/29/2008,-828.66
08/29/2008,-826.35
09/29/2008,-966.33
10/29/2008,-879.9
11/29/2008,-830.94
12/29/2008,-983.16
01/29/2009,-837.1
02/28/2009,-842.79
03/29/2009,-869.88
04/29/2009,-804.6
05/29/2009,-784.53
06/29/2009,-847.2
07/29/2009,-819.63
08/29/2009,-849.78
09/29/2009,-1169.4
10/29/2009,-765.04
11/29/2009,-810.8
12/29/2009,-1244.52
01/29/2010,-803.04
02/28/2010,-845.44
03/29/2010,-875.28
04/29/2010,-777.74
05/29/2010,-692.65
06/29/2010,-949.1
07/29/2010,-812.4
08/29/2010,-775.28
09/29/2010,-1167.22
10/29/2010,-849.42
11/29/2010,-496.8
12/29/2010,-1626.24
01/29/2011,-761.76
02/28/2011,-740.6
03/29/2011,-1213.25
04/29/2011,-766.8
05/29/2011,-505.72
06/29/2011,-1261.42
07/29/2011,-771.06
08/29/2011,-448.4
09/29/2011,-1250.16
10/29/2011,-848.54
11/29/2011,-778.56
12/29/2011,-1767.6
01/29/2012,221405.6
