date,price
05/05/2002,-496.3
06/05/2002,-481.59
07/05/2002,-521.04
08/05/2002,-501.79
09/05/2002,-494.96
10/05/2002,-497.28
11/05/2002,-503.57
12/05/2002,-506.15
01/05/2003,-535.32
02/05/2003,-511.64
03/05/2003,-506.97
04/05/2003,-502.93
05/05/2003,-501.96
06/05/2003,-497.26
07/05/2003,-544.34
08/05/2003,-510.73
09/05/2003,-486.81
10/05/2003,-530.13
11/05/2003,-506.79
12/05/2003,-495.67
01/05/2004,-649.24
02/05/2004,-503.48
03/05/2004,-504.91
04/05/2004,-521.39
05/05/2004,-514.83
06/05/2004,-495.85
07/05/2004,-606.9
08/05/2004,-488.76
09/05/2004,-515.82
10/05/2004,-587.54
11/05/2004,-505.36
12/05/2004,-498.08
01/05/2005,-780.35
02/05/2005,-497.76
03/05/2005,-503.24
04/05/2005,-554.43
05/05/2005,-500.76
06/05/2005,-509.7
07/05/2005,-651.12
08/05/2005,-521.53
09/05/2005,-498.44
10/05/2005,-608.67
11/05/2005,-505.27
12/05/2005,-486.48
01/05/2006,-991.05
02/05/2006,-497.45
03/05/2006,-498.96
04/05/2006,-546.43
05/05/2006,-504.9
06/05/2006,-490.9
07/05/2006,-752.3
08/05/2006,-510.62
09/05/2006,-506.36
10/05/2006,-706.54
11/05/2006,-492.24
12/05/2006,-498.34
01/05/2007,-865.96
02/05/2007,-495.22
03/05/2007,-481.28
04/05/2007,-673.36
05/05/2007,-505.64
06/05/2007,-504.41
07/05/2007,-917.48
08/05/2007,-497.67
09/05/2007,-512.29
10/05/2007,-738.1
11/05/2007,-477.23
12/05/2007,-500.94
01/05/2008,-1161.87
02/05/2008,-491.96
03/05/2008,-504.48
04/05/2008,-784.73
05/05/2008,-478.41
06/05/2008,-506.23
07/05/2008,-902.12
08/05/2008,-511.2
09/05/2008,-494.4
10/05/2008,-849.32
11/05/2008,-495.73
12/05/2008,-505.6
01/05/2009,-965.38
02/05/2009,-505.05
03/05/2009,-496.72
04/05/2009,-575.04
05/05/2009,-495.63
06/05/2009,-507.54
07/05/2009,-577.2
08/05/2009,-488.57
09/05/2009,-512.62
10/05/2009,-557.43
11/05/2009,-514.56
12/05/2009,-497.24
01/05/2010,-1365.47
02/05/2010,-500.46
03/05/2010,-491.74
04/05/2010,-674.46
05/05/2010,-500.08
06/05/2010,-505.94
07/05/2010,-661.44
08/05/2010,-501.3
09/05/2010,-507.65
10/05/2010,-645.65
11/05/2010,-503.94
12/05/2010,-497.69
01/05/2011,-1282.11
02/05/2011,-500.76
03/05/2011,-496.74
04/05/2011,-734.3
05/05/2011,-511.5
06/05/2011,-501.67
07/05/2011,-947.11
08/05/2011,-499.44
09/05/2011,-498.96
10/05/2011,-777.62
11/05/2011,-497.0
12/05/2011,-512.45
01/05/2012,-1756.74
02/05/2012,-473.2
03/05/2012,-530.3
04/05/2012,-681.84
05/05/2012,82697.8
