date,price
05/05/2002,-486.0
06/05/2002,-475.95
07/05/2002,-450.95
08/05/2002,-556.36
09/05/2002,-496.86
10/05/2002,-507.5
11/05/2002,-512.4
12/05/2002,-506.94
01/05/2003,-514.2
02/05/2003,-464.64
03/05/2003,-532.63
04/05/2003,-487.44
05/05/2003,-518.22
06/05/2003,-457.3
07/05/2003,-556.8
08/05/2003,-536.76
09/05/2003,-477.95
10/05/2003,-573.36
11/05/2003,-489.45
12/05/2003,-495.5
01/05/2004,-518.85
02/05/2004,-528.2
03/05/2004,-424.92
04/05/2004,-636.48
05/05/2004,-412.04
06/05/2004,-528.2
07/05/2004,-618.9
08/05/2004,-492.25
09/05/2004,-415.72
10/05/2004,-633.48
11/05/2004,-431.2
12/05/2004,-551.65
01/05/2005,-656.82
02/05/2005,-443.36
03/05/2005,-566.15
04/05/2005,-545.7
05/05/2005,-540.35
06/05/2005,-442.76
07/05/2005,-550.95
08/05/2005,-564.45
09/05/2005,-456.2
10/05/2005,-658.86
11/05/2005,-451.24
12/05/2005,-584.05
01/05/2006,-592.05
02/05/2006,-466.52
03/05/2006,-472.32
04/05/2006,-723.6
05/05/2006,-488.64
06/05/2006,-467.08
07/05/2006,-587.0
08/05/2006,-588.4
09/05/2006,-480.72
10/05/2006,-621.85
11/05/2006,-509.08
12/05/2006,-522.44
01/05/2007,-650.75
02/05/2007,-533.96
03/05/2007,-515.56
04/05/2007,-665.45
05/05/2007,-417.51
06/05/2007,-560.72
07/05/2007,-563.96
08/05/2007,-541.4
09/05/2007,-546.68
10/05/2007,-715.3
11/05/2007,-420.6
12/05/2007,-557.44
01/05/2008,-782.22
02/05/2008,-489.12
03/05/2008,-482.16
04/05/2008,-758.16
05/05/2008,-392.13
06/05/2008,-502.96
07/05/2008,-807.24
08/05/2008,-475.72
09/05/2008,-468.92
10/05/2008,-778.64
11/05/2008,-501.12
12/05/2008,-505.5
01/05/2009,-774.18
02/05/2009,-480.78
03/05/2009,-506.08
04/05/2009,-692.28
05/05/2009,-508.8
06/05/2009,-521.4
07/05/2009,-662.72
08/05/2009,-552.42
09/05/2009,-474.55
10/05/2009,-680.68
11/05/2009,-493.7
12/05/2009,-510.4
01/05/2010,-838.0
02/05/2010,-487.25
03/05/2010,-526.05
04/05/2010,-657.54
05/05/2010,-520.4
06/05/2010,-582.66
07/05/2010,-757.36
08/05/2010,-413.8
09/05/2010,-504.55
10/05/2010,-854.8
11/05/2010,-451.12
12/05/2010,-452.0
01/05/2011,-821.66
02/05/2011,-486.52
03/05/2011,-484.2
04/05/2011,-861.56
05/05/2011,-494.4
06/05/2011,-475.44
07/05/2011,-740.52
08/05/2011,-516.4
09/05/2011,-538.65
10/05/2011,-858.8
11/05/2011,-465.28
12/05/2011,-465.44
01/05/2012,-941.84
02/05/2012,-495.84
03/05/2012,-496.56
04/05/2012,-764.64
05/05/2012,79424.1
