date,price
05/05/2002,-482.2
06/05/2002,-516.78
07/05/2002,-487.08
08/05/2002,-510.64
09/05/2002,-491.04
10/05/2002,-519.39
11/05/2002,-482.77
12/05/2002,-499.92
01/05/2003,-527.5
02/05/2003,-498.42
03/05/2003,-508.14
04/05/2003,-521.56
05/05/2003,-492.43
06/05/2003,-501.82
07/05/2003,-510.62
08/05/2003,-515.66
09/05/2003,-483.2
10/05/2003,-531.74
11/05/2003,-497.6
12/05/2003,-503.4
01/05/2004,-552.3
02/05/2004,-509.58
03/05/2004,-487.44
04/05/2004,-541.4
05/05/2004,-497.04
06/05/2004,-509.58
07/05/2004,-551.25
08/05/2004,-497.2
09/05/2004,-500.27
10/05/2004,-565.11
11/05/2004,-494.82
12/05/2004,-509.76
01/05/2005,-617.32
02/05/2005,-513.18
03/05/2005,-494.7
04/05/2005,-561.4
05/05/2005,-499.32
06/05/2005,-513.9
07/05/2005,-573.0
08/05/2005,-498.44
09/05/2005,-504.9
10/05/2005,-600.18
11/05/2005,-499.8
12/05/2005,-517.99
01/05/2006,-619.0
02/05/2006,-522.07
03/05/2006,-496.32
04/05/2006,-604.01
05/05/2006,-516.0
06/05/2006,-489.92
07/05/2006,-616.0
08/05/2006,-490.72
09/05/2006,-500.64
10/05/2006,-647.2
11/05/2006,-497.7
12/05/2006,-513.15
01/05/2007,-679.0
02/05/2007,-490.28
03/05/2007,-507.3
04/05/2007,-665.0
05/05/2007,-474.11
06/05/2007,-515.2
07/05/2007,-667.44
08/05/2007,-494.06
09/05/2007,-500.92
10/05/2007,-675.0
11/05/2007,-513.94
12/05/2007,-510.16
01/05/2008,-714.0
02/05/2008,-512.8
03/05/2008,-504.48
04/05/2008,-694.89
05/05/2008,-513.6
06/05/2008,-500.25
07/05/2008,-698.74
08/05/2008,-503.36
09/05/2008,-496.32
10/05/2008,-715.68
11/05/2008,-480.7
12/05/2008,-503.24
01/05/2009,-746.46
02/05/2009,-506.16
03/05/2009,-498.0
04/05/2009,-710.5
05/05/2009,-494.78
06/05/2009,-507.54
07/05/2009,-680.76
08/05/2009,-490.6
09/05/2009,-506.4
10/05/2009,-702.54
11/05/2009,-498.94
12/05/2009,-488.7
01/05/2010,-812.87
02/05/2010,-495.33
03/05/2010,-509.94
04/05/2010,-709.68
05/05/2010,-505.62
06/05/2010,-497.23
07/05/2010,-737.76
08/05/2010,-501.3
09/05/2010,-489.06
10/05/2010,-778.95
11/05/2010,-520.03
12/05/2010,-493.12
01/05/2011,-831.22
02/05/2011,-496.8
03/05/2011,-494.85
04/05/2011,-775.56
05/05/2011,-506.55
06/05/2011,-487.05
07/05/2011,-811.68
08/05/2011,-501.84
09/05/2011,-496.06
10/05/2011,-811.44
11/05/2011,-504.48
12/05/2011,-472.5
01/05/2012,-890.68
02/05/2012,-507.0
03/05/2012,-504.9
04/05/2012,-828.24
05/05/2012,82233.2
